Room Code,Room Name,Floor Level,Zone / Wing,Design Ti (°C),Length (m),Width (m),Height (m),Ext Wall (m),U-Wall,Window Area (m2),Window Specification,Floor Area (m2),U-Floor,Ceiling Area (m2),Ceiling Specification,Base Construction,Chimney Flue,Windows Doors,Floor Boundary,Ceiling Boundary,Wall Type,Floor Type,Radiator Type,Rad Size,Pipework,Notes
GF-01,Entrance & Stair Hall (GF to FF),Ground Floor,Georgian end,18.0,6.25,4.5,5.6,10.75,1.4,6.5,Single Glazed (Historic Timber Sash / Casement),28.1,0.8,0.0,Intermediate Floor (Heated Space Above),Standard Historic (Solid Masonry),No Chimney / Permanently Sealed,Original Loose Sash / Casement (Undraughted),Suspended Timber (Unsealed Boards over Cold Void),Intermediate Floor (Heated Space Above),Solid Masonry,Standard,Type 22,600x1000,15mm copper,Double-height open stair volume connecting GF to FF. Check draught seal on front door. | Construction: Solid Masonry | Rad: Type 22 600x1000 (15mm copper)
GF-02,Drawing Room / Main Living,Ground Floor,Georgian end,21.0,8.5,6.25,2.8,14.75,1.4,9.2,Single Glazed (Historic Timber Sash / Casement),53.1,0.8,0.0,Intermediate Floor (Heated Space Above),Standard Historic (Solid Masonry),Open Fireplace (Unsealed Flue),Original Loose Sash / Casement (Undraughted),Suspended Timber (Unsealed Boards over Cold Void),Intermediate Floor (Heated Space Above),Solid Masonry,Standard,Type 22,600x1000,15mm copper,Solid Georgian brick wall. Open fireplace needs chimney balloon or flue damper to cut 0.6 ACH. | Construction: Solid Masonry | Rad: Type 22 600x1000 (15mm copper)
GF-03,Dining Room,Ground Floor,Thatched gable ended,21.0,6.0,5.5,2.8,11.5,1.8,5.0,Single Glazed (Historic Timber Sash / Casement),33.0,0.6,0.0,Intermediate Floor (Heated Space Above),Standard Historic (Solid Masonry),No Chimney / Permanently Sealed,Original Loose Sash / Casement (Undraughted),Suspended Timber (Unsealed Boards over Cold Void),Intermediate Floor (Heated Space Above),Solid Masonry,Standard,Type 22,600x1000,15mm copper,Check floor void beneath timber boards. Good candidate for underfloor insulation. | Construction: Solid Masonry | Rad: Type 22 600x1000 (15mm copper)
GF-04,Kitchen & Breakfast Area,Ground Floor,New build,18.0,7.5,6.5,2.8,14.0,0.22,8.0,"Modern Double Glazing (Argon, Low-E, Warm Edge)",48.8,0.15,0.0,Intermediate Floor (Heated Space Above),New Build (Cavity / Insulated),No Chimney / Permanently Sealed,Modern High-Performance (Compression Gaskets),Solid Concrete Slab / Insulated Floor,Intermediate Floor (Heated Space Above),Solid Masonry,Standard,Type 22,600x1000,15mm copper,New insulated cavity wall & insulated slab. High thermal and airtight performance. | Construction: Solid Masonry | Rad: Type 22 600x1000 (15mm copper)
GF-05,Orangery / Garden Room,Ground Floor,Orangery,20.0,10.0,6.0,2.8,22.0,0.25,35.0,"Modern Double Glazing (Argon, Low-E, Warm Edge)",60.0,0.15,60.0,Glazed Roof Lantern / Sloping Skylight (Orangery),New Build (Cavity / Insulated),No Chimney / Permanently Sealed,Modern High-Performance (Compression Gaskets),Solid Concrete Slab / Insulated Floor,Sloping Roof / Exposed Eaves / Thatched Ridge,Solid Masonry,Standard,Type 22,600x1000,15mm copper,Large glazed roof lantern and double glazed perimeter. High heat loss density. | Construction: Solid Masonry | Rad: Type 22 600x1000 (15mm copper)
GF-06,Snug / Family Sitting Room,Ground Floor,Thatched gable ended,21.0,6.0,5.0,2.8,11.0,1.8,4.5,Single Glazed (Historic Timber Sash / Casement),30.0,0.6,0.0,Intermediate Floor (Heated Space Above),Standard Historic (Solid Masonry),Room-Sealed Stove with Ext Air,Original Loose Sash / Casement (Undraughted),Suspended Timber (Unsealed Boards over Cold Void),Intermediate Floor (Heated Space Above),Solid Masonry,Standard,Type 22,600x1000,15mm copper,Timber beam ceiling. Space available for Type 22 or Type 33 radiator. | Construction: Solid Masonry | Rad: Type 22 600x1000 (15mm copper)
GF-07,Study / Home Office,Ground Floor,Thatched gable ended,20.0,6.0,4.0,2.8,10.0,1.8,3.8,Single Glazed (Historic Timber Sash / Casement),24.0,0.6,0.0,Intermediate Floor (Heated Space Above),Standard Historic (Solid Masonry),No Chimney / Permanently Sealed,Original Loose Sash / Casement (Undraughted),Suspended Timber (Unsealed Boards over Cold Void),Intermediate Floor (Heated Space Above),Solid Masonry,Standard,Type 22,600x1000,15mm copper,Continuous occupancy during workdays. Comfort requires 20°C. | Construction: Solid Masonry | Rad: Type 22 600x1000 (15mm copper)
GF-08,Utility & Boot Room,Ground Floor,Lean to West,18.0,4.0,3.5,2.6,7.5,2.2,2.2,Single Glazed (Historic Timber Sash / Casement),14.0,1.1,14.0,Uninsulated Sloping Roof / Lean-to (Lath & Plaster to Rafters),Standard Historic (Solid Masonry),No Chimney / Permanently Sealed,Original Loose Sash / Casement (Undraughted),Suspended Timber (Unsealed Boards over Cold Void),Sloping Roof / Exposed Eaves / Thatched Ridge,Solid Masonry,Standard,Type 22,600x1000,15mm copper,Solid uninsulated wall & sloping roof. Prime candidate for roof & wall insulation. | Construction: Solid Masonry | Rad: Type 22 600x1000 (15mm copper)
GF-09,Ground Floor Cloakroom / WC,Ground Floor,Lean to West,18.0,2.5,4.0,2.6,2.5,2.2,1.0,Single Glazed (Historic Timber Sash / Casement),10.0,1.1,10.0,Uninsulated Sloping Roof / Lean-to (Lath & Plaster to Rafters),Standard Historic (Solid Masonry),No Chimney / Permanently Sealed,Original Loose Sash / Casement (Undraughted),Suspended Timber (Unsealed Boards over Cold Void),Sloping Roof / Exposed Eaves / Thatched Ridge,Solid Masonry,Standard,Type 22,600x1000,15mm copper,Small heated towel rail or compact radiator needed. | Construction: Solid Masonry | Rad: Type 22 600x1000 (15mm copper)
GF-10,Plant Room / Back Scullery,Ground Floor,Lean to North,16.0,6.0,3.0,2.6,6.0,2.2,1.8,Single Glazed (Historic Timber Sash / Casement),18.0,1.1,18.0,Uninsulated Sloping Roof / Lean-to (Lath & Plaster to Rafters),Standard Historic (Solid Masonry),No Chimney / Permanently Sealed,Original Loose Sash / Casement (Undraughted),Suspended Timber (Unsealed Boards over Cold Void),Sloping Roof / Exposed Eaves / Thatched Ridge,Solid Masonry,Standard,Type 22,600x1000,15mm copper,Buffer cylinder & manifolds location. Unintentional heat gains from pipework. | Construction: Solid Masonry | Rad: Type 22 600x1000 (15mm copper)
